Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1999-9388-ETH,1999,9388,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"North Wollo, South Wollo, Oromia, Wag Himra districts (Amhara province), Southern district (Tigray province), Beneshangul Gumu, Gambela, Oromia, SNNPR, Somali provinces",,Food shortage,,Yes,,,,,Km2,,,,,1999,9,,2000,12,,,,4900000,,4900000,,,,,,,61.47366718,1;2,1230;1232;1236;47678;47679,40799;40800;40803;149281;149298,"Beneshangul Gumu, Gambela, Oromia, SNNPR, Somali (Adm1). North Wollo, Oromia, South Wollo, Southern, Wag Himra (Adm2)."
1999-9388-KEN,1999,9388,,Natural,Climatological,Drought,Drought,,,Kenya,KEN,Eastern Africa,Africa,"Nyandarua, Nyeri districts (Central province), Kilifi, Kwale, Lamu, Taita Taveta, Tana River districts (Coast province), Isiolo, Kitui, Machakos, Makueni, Marsabit, Mbeere, Moyale, Mwingi, Tharaka districts (Eastern province), Garissa, Mandera, Wajir districts (North Eastern province), Baringo, Kajiado, Keiyo, Laikipia, Marakwet, Samburu, Trans Mara, Turkana, West Pokot districts (Rift Valley province)",,Food shortage,,,Yes,Yes,6498,,Km2,,,,,1999,12,,2002,,,85,,23000000,,23000000,,,,,,,61.47366718,2,,51337;51338;51340;51341;51342;51345;51346;51348;51349;51350;51351;51352;51353;51357;51358;51359;51361;51363;51364;51377;51380;51381;51384;51385;51389;51390;51392;51394,"Baringo, Garissa, Isiolo, Kajiado, Keiyo, Kilifi, Kitui, Kwale, Laikipia, Lamu, Machakos, Makueni, Mandera, Marakwet, Marsabit, Mbeere, Moyale, Mwingi, Nyandarua, Nyeri, Samburu, Taita Taveta, Tana River, Tharaka, Trans Mara, Turkana, Wajir, West Pokot (Adm2)."
1999-9388-DJI,1999,9388,,Natural,Climatological,Drought,Drought,,,Djibouti,DJI,Eastern Africa,Africa,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah provinces",,,,Yes,,,1556,,Km2,,,,,2001,6,,2001,,,,,100000,,100000,,,,,,,61.47366718,1,1093;1094;1095;1096;1097,,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah (Adm1)."
1999-9212-MAR,1999,9212,,Natural,Climatological,Drought,Drought,,,Morocco,MAR,Northern Africa,Africa,Tiznit,,,,Yes,No,Yes,,,Km2,,,,,1999,6,,2001,,,,,275000,,275000,,,,,900000,1464042,61.47366718,,,,
2000-9309-MDG,2000,9309,,Natural,Climatological,Drought,Drought,,,Madagascar,MDG,Eastern Africa,Africa,"Ambovombe-Androy, Bekily, Beloha, Tsihombe districts (Androy province), Amboasary-Atsimo ditrict (Anosy province), Ampanihy Ouest district (Atsimo Andrefana province), Ambatatondraza, Amparafaravola, Andilamena, district (Alaotra Mangoro province), Vatomandry, Marolambo, Antanambao Manamposty districts (Atsinanana province), Antsirabe I, Antsirable II, Faratsiho, Antanifotsy, Betafo districts (Vakinankaratra province)",,,,,,,420,,Km2,,,,,2000,6,,2000,,,,,231290,,231290,,,,,,,63.54954734,2,,123868;154509;154510;154511;154531;154532;154533;154534;154535;154538;154552;154555;154558;154607;154608;154609;154610,"Ambatondrazaka, Amboasary-Atsimo, Ambovombe-Androy, Ampanihy Ouest, Amparafaravola, Andilamena, Antanambao Manampontsy, Antanifotsy, Antsirabe I, Antsirabe II, Bekily, Beloha, Betafo, Faratsiho, Marolambo, Tsihombe, Vatomandry (Adm2)."
1998-9265-UGA,1998,9265,,Natural,Climatological,Drought,Drought,,,Uganda,UGA,Eastern Africa,Africa,,,,,,No,No,,,Km2,,,,,1998,1,,1999,,,,,126000,,126000,,,,,1600,2660,60.15741089,,,,
1998-9361-ZWE,1998,9361,,Natural,Climatological,Drought,Drought,,,Zimbabwe,ZWE,Eastern Africa,Africa,Southern (Matabeleland),,,,,No,Yes,,,Km2,,,,,1998,11,,1998,,,,,55000,,55000,,,,,,,60.15741089,,,,
1999-9388-SDN,1999,9388,,Natural,Climatological,Drought,Drought,,,Sudan (the),SDN,Northern Africa,Africa,"Northern Darfur, Northern Kordofan, Red Sea provinces",,Food shortage,Water shortage,,,,,,Km2,,,,,2000,1,,2001,,,,,2000000,,2000000,,,,,,,61.47366718,1,2757;40772;68784,,"Northern Darfur, Northern Kordofan, Red Sea (Adm1)."
1999-9388-RWA,1999,9388,,Natural,Climatological,Drought,Drought,,,Rwanda,RWA,Eastern Africa,Africa,"Umutura village (Rubavu district, West/Iburengerazuba province), Kibungo village (Ngoma district, East/Iburasirazuba province), Gitamara village (Muhanga district, South/Amajyepfo province), Butare village (Huye district, South/Amajyepfo province), Gikongoro village (Nyamagabe district, South/Amajyepfo province), Kigali City/Umujyi wa Kigali province",,Food shortage,,,,,,,Km2,,,,,1999,11,,2000,,,,,894545,,894545,,,,,,,61.47366718,1;2,21970,21981;21987;21989;21993;21998,"Kigali City/Umujyi wa Kigali (Adm1). Huye, Muhanga, Ngoma, Nyamagabe, Rubavu (Adm2)."
1999-9388-SOM,1999,9388,,Natural,Climatological,Drought,Drought,,,Somalia,SOM,Eastern Africa,Africa,"Ceel Barde, Rab Dhuure, Tayeeglow, Xudur districts (Bakool province), Garbahaarey, Baardheere districts (Gedo province), Bay, Hiraan provinces",,Food shortage,,,,,,,Km2,,,,,2000,1,,2001,,,21,,1200000,,1200000,,,,,,,61.47366718,1;2,2691;2695,25657;25658;25659;25661;25678;25682,"Bay, Hiraan (Adm1). Baardheere, Ceel Barde, Garbahaarey, Rab Dhuure, Tayeeglow, Xudur (Adm2)."
